"","State","Effective_Date","Valid_Through_Date","Bans_Prohibit","Limited_Law","Limited_Court","Limited_AG","Prohibit_Req","Bans_gest_Any.point.in.pregnancy","Bans_gest_Fetal.heartbeat.detected","Bans_gest_4.weeks.postfertilization..6.weeks.LMP..","Bans_gest_6.weeks.postfertilization..8.weeks.LMP..","Bans_gest_8.weeks.postfertilization..10.weeks.LMP.","Bans_gest_10.weeks.postfertilization..12.weeks.LMP..","Bans_gest_12.weeks.postfertilization..14.weeks.LMP.","Bans_gest_13.weeks.postfertilization..15.weeks.LMP.","Bans_gest_16.weeks.postfertilization..18.weeks.LMP..","Bans_gest_18.weeks.postfertilization..20.weeks.LMP.","Bans_gest_19.weeks.postfertilization..21.weeks.LMP.","Bans_gest20.weeks.postfertilization..22.weeks.LMP.","Bans_gest_21.weeks.postfertilization..23.weeks.LMP..","Bans_gest_22.weeks.postfertilization..24.weeks.LMP.","Bans_gest_24.weeks.postfertilization..26.weeks.LMP.","Bans_gestViability","Bans_gest_Fetus.is.capable.of.feeling.pain","Bans_gest_3rd.trimester","Prohibit_ExcLife.endangerment","Prohibit_ExcSerious.health.risk","Prohibit_Exc_Fetal.anomaly","Prohibit_Exc_Rape","Prohibit_Exc_Incest","Prohibit_Exc_Health","Exc_Req_Must.be.performed.in.a.hospital","Exc_ReqMust.use.a.method.most.likely.to.result.in.fetal.survival","Exc_Req_Second.physician.must.participate","Exc_Req_Second.physician.must.certify.the.exception","Exc_Req_Two.other.physicians.must.certify.the.exception","Exc_Req_Second.physician.must.attend.the.abortion","Exc_Req_No.requirements","Reason_Prohibit","Reason_What_Race","Reason_What_Sex","Reason_What_Down.syndrome","Reason_What_Fetal.anomaly","Reason_What_Fetal.disability","Reason_What_Scientific.research","Methods_Prohibit","Methods_ProcedPartial.birth.abortions","Methods_ProcedDismemberment.abortions","Methods_Proced_Saline.method.abortions","Methods_ExcLife.endangerment","Methods_ExcSerious.health.risk","Methods_Exc_Fetal.anomaly","Methods_Exc_No.exceptions","TriggerBan","Bans_PreRoe"
"1","Wyoming",2022-08-10,2022-11-01,1,"1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","0","0","1","0","0","0","0","0","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".","1","0"
"2","Wisconsin",2022-06-24,2022-11-01,1,"1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0",".",".",".",".",".",".","1","1","0","0","1","0","0","0","0","1"
"3","West Virginia",2022-09-13,2022-11-01,1,"1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","1","0","1","1","1","0","0","1"
"4","Washington",2022-06-09,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".","0","0"
"5","Virginia",2020-07-01,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","1","0","0","0",".",".",".",".",".",".","1","1","0","0","1","1","0","0","0","0"
"6","Vermont",2018-12-01,2022-11-01,0,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"7","Utah",2022-09-01,2022-11-01,1,"1","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","1","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","1","0","1","1","1","0","0","1","0"
"8","Texas",2022-08-29,2022-11-01,1,"0",".","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0",".",".",".",".",".",".","1","1","1","0","1","1","0","0","1","0"
"9","Tennessee",2022-08-25,2022-11-01,1,"0",".",".","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","0","0","0","1","1","0","0","1","0","0","0","1","0"
"10","South Dakota",2022-06-24,2022-11-01,1,"0",".",".","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0","1","1","0","0","1","0","0","0","1","0"
"11","South Carolina",2022-08-17,2022-11-01,1,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","0","1","1","0","1","0","0","0","0",".",".",".",".",".",".","1","1","0","0","1","1","0","0","0","0"
"12","Rhode Island",2022-01-04,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".","0","0"
"13","Pennsylvania",2018-12-01,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","1","1","1","0","1","0","1","0","1","0","1","0","0","0","0","0",".",".",".",".",".",".",".","0","0"
"14","Oregon",2018-12-01,2022-11-01,0,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"15","Oklahoma",2022-08-26,2022-11-01,1,"1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","1","1","1","0","1","0","0","0","1","0","1","0","1","0","0","0","0","1","1","1","0","1","1","0","0","0","1"
"16","Ohio",2022-10-12,2022-11-01,1,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","1","1","0","1","0","1","0","1","0","0","1","0","0","0","1","1","1","0","1","1","0","0","0","0"
"17","North Dakota",2022-10-31,2022-11-01,1,"1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","1","1","1","0","1","1","0","0","1","0"
"18","North Carolina",2019-03-25,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0",".",".",".",".",".",".",".","0","1"
"19","New York",2022-01-19,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".","0","0"
"20","New Mexico",2021-06-18,2022-11-01,1,"0",".",".","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".",".",".",".","1","1","0","0","1","1","0","0","0","0"
"21","New Jersey",2021-12-06,2022-11-01,1,"1","1","0","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".",".",".",".","1","1","0","0","1","1","0","0","0","0"
"22","New Hampshire",2022-05-27,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","1","0",".",".",".",".",".",".","1","1","0","0","1","1","0","0","0","0"
"23","Nevada",2018-12-01,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".","0","0"
"24","Nebraska",2020-11-14,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0",".",".",".",".",".",".","1","1","1","0","1","1","0","0","0","0"
"25","Montana",2022-08-09,2022-11-01,1,"1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0",".",".",".",".",".",".","1","1","0","0","1","0","0","0","0","0"
"26","Missouri",2022-06-24,2022-11-01,1,"0","0","0","1","1","0","0","1","0","0","1","0","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","1","0","1","0","1","1","1","1","0","0","0","1","1","0","0","1","0","0","0","1","0"
"27","Mississippi",2022-06-27,2022-11-01,1,"1","1","0","1","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","0","0","0",".",".",".",".",".",".","1","1","1","0","1","1","0","0","1","1"
"28","Minnesota",2018-12-01,2022-11-01,1,"1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".","0","0"
"29","Michigan",2022-09-07,2022-11-01,1,"1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0",".",".",".",".",".",".","1","1","0","0","1","0","0","0","0","1"
"30","Massachusetts",2022-07-29,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","0","0","0","0","0","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".","0","0"
"31","Maryland",2022-07-01,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".","0","0"
"32","Maine",2022-10-01,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".","0","0"
"33","Louisiana",2022-08-01,2022-11-01,1,"0",".",".","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","1","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","1","0","1","1","1","0","1","1","0","0","1","0"
"34","Kentucky",2022-08-17,2022-11-01,1,"1","1","0","1","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","1","1","0","1","0","1","0","1","1","1","1","0","1","0","1","1","1","1","1","1","0","0","1","0"
"35","Kansas",2021-04-07,2022-11-01,1,"1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","1","1","0","1","1","0","0","0","0"
"36","Iowa",2022-06-17,2022-11-01,1,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","1","0",".",".",".",".",".",".","1","1","0","0","1","0","0","0","0","0"
"37","Indiana",2022-09-22,2022-11-01,1,"1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","1","0","0","0","0","1","0","1","1","1","1","0","1","0","1","1","1","0","1","1","0","0","0","0"
"38","Illinois",2019-06-12,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".","0","0"
"39","Idaho",2022-08-25,2022-11-01,1,"1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","1","0","1","1","0","1","0","0","0","0",".",".",".",".",".",".","1","1","0","0","1","0","0","0","1","0"
"40","Hawaii",2018-12-01,2022-11-01,0,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"41","Georgia",2022-07-20,2022-11-01,1,"1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","1","0","0","1","0","0","0",".",".",".",".",".",".","1","1","0","0","1","0","0","0","0","0"
"42","Florida",2022-07-06,2022-11-01,1,"1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","1","1","0","1","0","0","0","0",".",".",".",".",".",".","1","1","0","0","1","0","0","0","0","0"
"43","District of Columbia",2018-12-01,2022-11-01,0,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"44","Delaware",2022-06-29,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".","0","0"
"45","Connecticut",2022-07-01,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".","0","0"
"46","Colorado",2018-12-01,2022-11-01,0,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"47","California",2018-12-01,2022-11-01,1,"0",".",".","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".","0","0"
"48","Arkansas",2022-09-19,2022-11-01,1,"1","1","0","1","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","1","1","1","1","1","0","1","0","0","0","1","0","1","0","1","1","0","0","0","1","1","1","0","1","1","0","0","1","1"
"49","Arizona",2022-10-07,2022-11-01,1,"1","1","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","1","1","1","0","1","0","1","1","1","0","0","1","0","0","0","0","1"
"50","Alaska",2018-12-01,2022-11-01,1,"1","1","0","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".",".",".",".","1","1","0","0","0","0","0","1","0","0"
"51","Alabama",2022-06-24,2022-11-01,1,"1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","1","1","1","0","1","0","1","0","0",".",".",".",".",".",".","1","1","1","0","1","1","0","0","0","1"
